tpep_pickup_datetime	tpep_dropoff_datetime	passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount
08-05-17 22:28	08-05-17 22:34	4	0.97	1	N	2	6.5	0.5	0.5	0	0	0.3	7.8
8/13/2017 3:50	8/13/2017 3:53	2	0.95	1	N	1	5	0.5	0.5	1	0	0.3	7.3
4/25/2017 22:20	4/25/2017 22:25	4	1.02	1	N	1	6	0.5	0.5	1.46	0	0.3	8.76
05-01-17 9:42	05-01-17 9:47	1	0.78	1	N	1	5	0	0.5	1	0	0.3	6.8
06-03-17 18:55	06-03-17 19:03	6	1.16	1	N	1	7	0	0.5	1.95	0	0.3	9.75
4/16/2017 2:43	4/16/2017 3:04	3	4.3	1	N	1	17.5	0.5	0.5	2.22	0	0.3	21.02
2/25/2017 13:04	2/25/2017 13:15	1	1.9	1	N	1	9.5	0	0.5	2.55	0	0.3	12.85
3/17/2017 22:00	3/17/2017 22:22	2	11.2	1	N	1	31.5	0.5	0.5	6.56	0	0.3	39.36
01-10-17 21:06	01-10-17 21:13	1	2	1	N	2	8	0.5	0.5	0	0	0.3	9.3
11/16/2017 9:31	11/16/2017 9:43	2	1.02	1	N	1	8.5	0	0.5	1.86	0	0.3	11.16
10/28/2017 4:16	10/28/2017 4:33	3	5.11	1	N	1	16.5	0.5	0.5	5.34	0	0.3	23.14
10/13/2017 15:48	10/13/2017 15:56	1	0.96	1	N	2	6.5	0	0.5	0	0	0.3	7.3
9/20/2017 23:46	9/20/2017 23:54	1	1.9	1	N	1	8	0.5	0.5	1.86	0	0.3	11.16
7/29/2017 13:27	7/29/2017 13:36	1	1.6	1	N	1	8	0	0.5	1	0	0.3	9.8
09-06-17 11:37	09-06-17 11:40	1	0.4	1	N	2	4.5	0	0.5	0	0	0.3	5.3
9/28/2017 7:17	9/28/2017 7:21	1	0.9	1	N	1	5	0	0.5	1	0	0.3	6.8
8/18/2017 1:17	8/18/2017 1:34	1	4.96	1	N	1	17	0.5	0.5	3.66	0	0.3	21.96
2/28/2017 18:02	2/28/2017 18:13	1	4.9	1	N	1	16	1	0.5	5.3	0	0.3	23.1
03-10-17 18:31	03-10-17 18:58	1	9.6	1	N	2	30.5	1	0.5	0	0	0.3	32.3
05-06-17 14:54	05-06-17 15:19	1	2.9	1	N	2	17.5	0	0.5	0	0	0.3	18.3
7/15/2017 0:28	7/15/2017 0:37	2	1.62	1	N	1	8	0.5	0.5	1	0	0.3	10.3
10/17/2017 14:29	10/17/2017 15:00	1	13.8	1	N	1	39	0	0.5	9.1	5.76	0.3	54.66
02-11-17 19:09	02-11-17 19:32	1	1.7	1	N	1	14.5	0	0.5	1	0	0.3	16.3
6/23/2017 19:53	6/23/2017 20:00	2	0.88	1	N	1	6.5	1	0.5	0.5	0	0.3	8.8
3/26/2017 20:06	3/26/2017 20:14	1	1.46	1	N	1	7	0.5	0.5	1.24	0	0.3	9.54
7/27/2017 10:10	7/27/2017 10:23	1	1.66	1	N	1	10	0	0.5	1.2	0	0.3	12
12-11-17 20:04	12-11-17 20:16	1	1.63	1	N	1	9.5	0.5	0.5	2.16	0	0.3	12.96
11/18/2017 13:04	11/18/2017 13:39	1	10	1	N	1	34.5	0	0.5	7.05	0	0.3	42.35
3/18/2017 23:41	3/18/2017 23:49	1	1.42	1	N	2	7	0.5	0.5	0	0	0.3	8.3
02-07-17 8:56	02-07-17 9:07	1	0.72	1	N	1	8	0	0.5	0	0	0.3	8.8
3/31/2017 20:18	3/31/2017 20:50	3	9.67	1	N	1	31	0.5	0.5	8.08	0	0.3	40.38
5/24/2017 20:46	5/24/2017 21:02	1	2.3	1	N	1	12.5	0.5	0.5	2.75	0	0.3	16.55
2/15/2017 20:16	2/15/2017 20:39	1	4.7	1	N	1	18.5	0.5	0.5	3	0	0.3	22.8
9/29/2017 11:38	9/29/2017 12:10	1	3.5	1	N	2	19.5	0	0.5	0	0	0.3	20.3
8/16/2017 9:30	8/16/2017 9:46	1	2.7	1	N	2	12.5	0	0.5	0	0	0.3	13.3
6/13/2017 19:17	6/13/2017 19:27	2	1.07	1	N	2	8	1	0.5	0	0	0.3	9.8
08-05-17 15:42	08-05-17 16:00	2	2.3	1	N	2	13	0	0.5	0	0	0.3	13.8
5/13/2017 20:55	5/13/2017 21:20	1	6.93	1	N	2	24	0.5	0.5	0	0	0.3	25.3
04-10-17 22:17	04-10-17 22:33	6	2.95	1	N	2	13.5	0.5	0.5	0	0	0.3	14.8
06-03-17 14:24	06-03-17 15:31	1	18	2	N	1	52	0	0.5	0	0	0.3	52.8
11/17/2017 12:01	11/17/2017 12:24	6	6.25	1	N	1	22.5	0	0.5	4.66	0	0.3	27.96
9/28/2017 21:17	9/28/2017 21:30	1	1.8	1	N	2	9.5	0.5	0.5	0	0	0.3	10.8
04-01-17 2:56	04-01-17 3:00	6	0.63	1	N	1	4.5	0.5	0.5	1.16	0	0.3	6.96
10/21/2017 19:27	10/21/2017 19:34	2	1.3	1	N	1	7	0	0.5	0	0	0.3	7.8
12/29/2017 17:22	12/29/2017 17:32	6	3.22	1	N	1	11.5	1	0.5	3.32	0	0.3	16.62
9/27/2017 9:10	9/27/2017 9:16	2	1.09	1	N	1	6.5	0	0.5	1	0	0.3	8.3
07-09-17 2:27	07-09-17 2:35	1	0.79	1	N	2	7	0.5	0.5	0	0	0.3	8.3
10/15/2017 1:04	10/15/2017 1:09	1	1.1	1	N	1	5.5	0.5	0.5	1.35	0	0.3	8.15
6/23/2017 17:55	6/23/2017 18:29	1	2.73	1	N	1	20.5	1	0.5	4.46	0	0.3	26.76
06-09-17 23:53	06-10-17 0:02	1	1.9	1	N	2	9	0.5	0.5	0	0	0.3	10.3
03-04-17 16:40	03-04-17 16:56	5	2.85	1	N	1	12.5	0	0.5	1	0	0.3	14.3
09-08-17 21:45	09-08-17 22:02	1	1.8	1	N	2	11.5	0.5	0.5	0	0	0.3	12.8
04-07-17 13:53	04-07-17 13:59	2	0.83	1	N	1	6	0	0.5	0.7	0	0.3	7.5
12/22/2017 11:49	12/22/2017 12:21	1	4.2	1	N	1	22	0	0.5	4.56	0	0.3	27.36
12/18/2017 19:21	12/18/2017 19:37	1	1.6	1	N	2	11	1	0.5	0	0	0.3	12.8
12-06-17 22:49	12-06-17 22:53	1	0.5	1	N	1	4.5	0.5	0.5	2	0	0.3	7.8
5/19/2017 8:05	5/19/2017 8:20	1	1.71	1	N	1	10.5	0	0.5	2.26	0	0.3	13.56
6/22/2017 8:05	6/22/2017 8:05	1	0	3	N	2	20	0	0	0	0	0.3	20.3
6/17/2017 0:21	6/17/2017 0:26	1	1.06	1	N	2	5.5	0.5	0.5	0	0	0.3	6.8
3/18/2017 23:23	3/18/2017 23:43	2	4.1	1	N	1	17.5	0.5	0.5	3.75	0	0.3	22.55
12-12-17 16:50	12-12-17 16:56	1	1.08	1	N	1	6	1	0.5	1.17	0	0.3	8.97
11/24/2017 15:17	11/24/2017 15:33	1	2.6	1	N	2	13	0	0.5	0	0	0.3	13.8
12/29/2017 16:04	12/29/2017 16:10	1	0.91	1	N	2	6	1	0.5	0	0	0.3	7.8
7/18/2017 19:11	7/18/2017 19:23	1	0.95	1	N	1	8.5	1	0.5	2	0	0.3	12.3
01-08-17 2:59	01-08-17 3:04	1	1.71	1	N	1	6.5	0.5	0.5	1	0	0.3	8.8
07-09-17 3:01	07-09-17 3:11	1	2.62	1	N	2	10	0.5	0.5	0	0	0.3	11.3
8/28/2017 11:51	8/28/2017 12:20	1	9	1	N	2	28	0	0.5	0	0	0.3	28.8
7/17/2017 14:20	7/17/2017 14:24	1	0.67	1	N	1	4.5	0	0.5	1.06	0	0.3	6.36
8/16/2017 21:37	8/16/2017 21:42	2	1.1	1	N	1	6	0.5	0.5	1.45	0	0.3	8.75
12/13/2017 14:05	12/13/2017 14:20	2	2.14	1	N	2	11.5	0	0.5	0	0	0.3	12.3
10/18/2017 7:42	10/18/2017 7:49	1	1.4	1	N	1	6.5	0	0.5	1.45	0	0.3	8.75
12/26/2017 23:33	12/26/2017 23:38	1	1	1	N	2	5.5	0.5	0.5	0	0	0.3	6.8
3/15/2017 21:17	3/15/2017 21:23	1	1.84	1	N	2	7.5	0.5	0.5	0	0	0.3	8.8
12-12-17 12:32	12-12-17 12:35	1	0.55	1	N	1	4	0	0.5	1.2	0	0.3	6
04-06-17 2:45	04-06-17 2:47	1	0.3	1	N	2	3.5	0.5	0.5	0	0	0.3	4.8
4/14/2017 12:49	4/14/2017 12:58	1	1.39	1	N	1	8	0	0.5	2.2	0	0.3	11
03-03-17 9:18	03-03-17 9:34	1	1.5	1	N	3	11	0	0.5	0	0	0.3	11.8
02-03-17 6:24	02-03-17 6:30	1	1.1	1	N	3	6	0	0.5	0	0	0.3	6.8
3/15/2017 15:42	3/15/2017 15:46	1	0.5	1	N	1	4.5	0	0.5	1.05	0	0.3	6.35
5/19/2017 14:10	5/19/2017 14:28	1	1.57	1	N	1	12.5	0	0.5	2.66	0	0.3	15.96
9/15/2017 22:13	9/15/2017 22:15	2	1.03	1	N	1	5	0.5	0.5	1.26	0	0.3	7.56
4/17/2017 12:03	4/17/2017 12:40	5	11.51	1	N	2	39.5	0	0.5	0	5.76	0.3	46.06
09-01-17 23:10	09-01-17 23:14	2	0.65	1	N	2	5	0.5	0.5	0	0	0.3	6.3
11/29/2017 11:13	11/29/2017 11:47	1	2.8	1	N	1	20.5	0	0.5	3.2	0	0.3	24.5
1/22/2017 0:35	1/22/2017 1:05	2	6.14	1	N	1	24.5	0.5	0.5	0	0	0.3	25.8
12-11-17 10:21	12-11-17 11:14	1	15.6	1	N	1	51.5	0	0.5	11.6	5.76	0.3	69.66
10/24/2017 15:21	10/24/2017 15:39	1	1.5	1	N	1	12.5	0	0.5	3.95	0	0.3	17.25
12-04-17 23:16	12-04-17 23:37	1	7	1	N	1	23	0.5	0.5	3	0	0.3	27.3
4/21/2017 23:15	4/21/2017 23:27	1	2.6	1	N	1	11	0.5	0.5	3	0	0.3	15.3
4/29/2017 13:29	4/29/2017 13:48	1	3.1	1	N	1	15	0	0.5	1	0	0.3	16.8
11-11-17 20:16	11-11-17 20:17	1	0.23	2	N	2	52	0	0.5	0	0	0.3	52.8
04-12-17 20:13	04-12-17 20:30	1	2.1	1	N	1	12	0.5	0.5	2.65	0	0.3	15.95
8/23/2017 15:26	8/23/2017 15:42	2	1.97	1	N	2	12	0	0.5	0	0	0.3	12.8
06-07-17 7:55	06-07-17 8:10	1	4.67	1	N	1	17	0	0.5	3.56	0	0.3	21.36
3/22/2017 22:55	3/22/2017 23:18	1	4.31	1	N	1	17.5	0.5	0.5	3.76	0	0.3	22.56
06-08-17 19:27	06-08-17 19:34	1	0.84	1	N	2	6.5	1	0.5	0	0	0.3	8.3
10-05-17 0:02	10-05-17 0:13	2	2.34	1	N	1	10.5	0.5	0.5	2.36	0	0.3	14.16
6/19/2017 1:03	6/19/2017 1:07	2	1.04	1	N	2	5	0.5	0.5	0	0	0.3	6.3
4/15/2017 12:08	4/15/2017 12:27	6	2.84	1	N	1	14	0	0.5	2.96	0	0.3	17.76
5/31/2017 20:58	5/31/2017 21:02	2	0.3	1	N	2	4.5	0.5	0.5	0	0	0.3	5.8
7/15/2017 22:34	7/15/2017 23:02	1	3.9	1	N	1	19	0.5	0.5	0	0	0.3	20.3
02-12-17 15:37	02-12-17 16:03	1	5.27	1	N	2	22	0	0.5	0	0	0.3	22.8
4/20/2017 7:13	4/20/2017 7:29	1	3.3	1	N	1	13.5	0	0.5	2.85	0	0.3	17.15
6/22/2017 14:22	6/22/2017 16:07	1	16.9	1	N	2	71.5	0	0.5	0	0	0.3	72.3
8/16/2017 18:31	8/16/2017 18:37	1	1.4	1	N	1	6.5	1	0.5	1.65	0	0.3	9.95
6/13/2017 20:05	6/13/2017 20:42	1	18.05	3	N	2	69.5	0.5	0	0	10.5	0.3	80.8
6/13/2017 19:04	6/13/2017 19:09	3	0.47	1	N	1	5	1	0.5	1.36	0	0.3	8.16
07-08-17 14:42	07-08-17 15:00	3	2.3	1	N	1	13	0	0.5	2.76	0	0.3	16.56
12/27/2017 17:40	12/27/2017 18:01	1	8.32	1	N	1	25.5	1	0.5	5	5.76	0.3	38.06
02-03-17 20:40	02-03-17 20:44	2	0.95	1	N	1	5.5	0.5	0.5	1.02	0	0.3	7.82
1/20/2017 19:57	1/20/2017 20:05	1	0.66	1	N	1	6.5	0.5	0.5	1	0	0.3	8.8
06-07-17 22:52	06-07-17 23:07	1	3.8	1	N	1	14.5	0.5	0.5	3.15	0	0.3	18.95
05-01-17 22:09	05-01-17 22:22	1	2.4	1	N	1	11	0.5	0.5	3.05	0	0.3	15.35
5/15/2017 8:22	5/15/2017 8:57	2	4.24	1	N	1	22.5	0	0.5	4.66	0	0.3	27.96
11-07-17 7:38	11-07-17 7:50	1	1.77	1	N	2	9.5	0	0.5	0	0	0.3	10.3
10/31/2017 22:24	10/31/2017 22:46	1	2.4	1	N	1	15	0.5	0.5	3.25	0	0.3	19.55
12-04-17 17:39	12-04-17 17:56	1	2.5	1	N	2	12.5	1	0.5	0	0	0.3	14.3
8/21/2017 12:40	8/21/2017 13:12	3	15.2	1	N	1	42.5	0	0.5	5	0	0.3	48.3
5/29/2017 21:48	5/29/2017 21:57	2	2.5	1	N	1	9.5	0.5	0.5	1.5	0	0.3	12.3
09-07-17 8:10	09-07-17 8:15	1	0.99	1	N	1	6	0	0.5	3	0	0.3	9.8
10-05-17 18:49	10-05-17 19:01	2	2.2	1	N	1	10.5	1	0.5	1.6	0	0.3	13.9
9/15/2017 19:17	9/15/2017 19:54	2	3.3	1	N	1	22	1	0.5	4.75	0	0.3	28.55
4/15/2017 13:56	4/15/2017 14:03	1	1.13	1	N	2	7	0	0.5	0	0	0.3	7.8
03-05-17 19:53	03-05-17 19:55	1	0.43	1	N	1	4	0	0.5	0.96	0	0.3	5.76
9/26/2017 11:56	9/26/2017 12:01	1	1.72	1	N	2	7.5	0	0.5	0	0	0.3	8.3
1/25/2017 18:33	1/25/2017 18:55	1	3.2	1	N	1	16	1	0.5	2	0	0.3	19.8
8/13/2017 10:01	8/13/2017 10:22	6	10.01	1	N	1	29	0	0.5	8.89	5.76	0.3	44.45
04-11-17 16:13	04-11-17 16:18	1	0.8	1	N	1	6	1	0.5	2.3	0	0.3	10.1
1/24/2017 18:03	1/24/2017 18:09	1	1.35	1	N	1	6	1	0.5	1	0	0.3	8.8
2/25/2017 18:11	2/25/2017 18:45	5	3.85	1	N	2	21.5	0	0.5	0	0	0.3	22.3
11/17/2017 22:09	11/17/2017 22:29	5	1.6	1	N	2	12.5	0.5	0.5	0	0	0.3	13.8
2/13/2017 16:25	2/13/2017 16:55	1	4.2	1	N	2	21	1	0.5	0	0	0.3	22.8
5/28/2017 21:33	5/28/2017 21:41	1	2.1	1	N	1	8.5	0.5	0.5	1.25	0	0.3	11.05
7/20/2017 17:31	7/20/2017 17:52	1	0.78	1	N	1	13	1	0.5	2.96	0	0.3	17.76
07-07-17 5:23	07-07-17 5:26	5	0.74	1	N	1	4.5	0.5	0.5	1.16	0	0.3	6.96
11/30/2017 21:06	11/30/2017 21:14	4	0.99	1	N	1	7	0.5	0.5	1	0	0.3	9.3
08-05-17 15:32	08-05-17 15:39	1	1.3	1	N	2	7	0	0.5	0	0	0.3	7.8
11/18/2017 10:33	11/18/2017 10:45	6	2.21	1	N	1	10.5	0	0.5	1.7	0	0.3	13
1/27/2017 14:58	1/27/2017 15:15	3	1.9	1	N	1	12.5	0	0.5	2	0	0.3	15.3
6/24/2017 7:02	6/24/2017 7:09	1	1.32	1	N	1	7	0	0.5	1.1	0	0.3	8.9
11/17/2017 20:45	11/17/2017 20:54	2	0.5	1	N	2	7	0.5	0.5	0	0	0.3	8.3
7/29/2017 13:22	7/29/2017 13:49	1	4.93	1	N	1	20	0	0.5	2	0	0.3	22.8
11/22/2017 1:15	11/22/2017 1:23	1	1.4	1	N	1	7.5	0.5	0.5	1.75	0	0.3	10.55
06-09-17 16:47	06-09-17 17:14	1	2.52	1	N	1	18	1	0.5	3.96	0	0.3	23.76
04-11-17 19:35	04-11-17 19:51	1	2.69	1	N	2	12	1	0.5	0	0	0.3	13.8
02-05-17 17:46	02-05-17 17:57	1	1.5	1	N	1	8.5	0	0.5	1	0	0.3	10.3
10-12-17 8:42	10-12-17 8:57	1	1.36	1	N	1	10.5	0	0.5	2.26	0	0.3	13.56
05-12-17 8:52	05-12-17 9:09	1	1.52	1	N	1	11.5	0	0.5	2.46	0	0.3	14.76
11/23/2017 0:31	11/23/2017 0:45	1	4.5	1	N	2	14.5	0.5	0.5	0	0	0.3	15.8
11-11-17 13:39	11-11-17 14:53	1	13.61	1	N	1	55	0	0.5	11.16	0	0.3	66.96
8/14/2017 12:26	8/14/2017 12:49	3	4.5	1	N	2	19	0	0.5	0	0	0.3	19.8
3/13/2017 15:40	3/13/2017 15:48	1	1.1	1	N	1	7.5	0	0.5	1.65	0	0.3	9.95
7/16/2017 1:33	7/16/2017 1:38	1	1.29	1	N	1	6	0.5	0.5	1.46	0	0.3	8.76
09-01-17 19:03	09-01-17 19:11	2	1.54	1	N	2	7.5	1	0.5	0	0	0.3	9.3
5/17/2017 21:16	5/17/2017 21:22	2	1.3	1	N	2	6.5	0.5	0.5	0	0	0.3	7.8
11-04-17 19:29	11-04-17 19:37	1	1	1	N	1	7	0	0.5	1.55	0	0.3	9.35
9/14/2017 10:57	9/14/2017 11:08	1	1.3	1	N	1	9	0	0.5	1.95	0	0.3	11.75
5/13/2017 14:01	5/13/2017 14:05	1	0.7	1	N	1	5	0	0.5	0	0	0.3	5.8
10-05-17 17:05	10-05-17 17:13	2	1.1	1	N	1	7	1	0.5	2	0	0.3	10.8
10-10-17 20:17	10-10-17 20:24	1	1.24	1	N	1	6.5	0.5	0.5	1.56	0	0.3	9.36
3/21/2017 11:24	3/21/2017 11:49	1	8.18	1	N	1	26	0	0.5	5.36	0	0.3	32.16
03-04-17 1:13	03-04-17 1:25	1	1.7	1	N	1	9.5	0.5	0.5	1	0	0.3	11.8
12-07-17 10:30	12-07-17 10:40	1	1.36	1	N	1	8	0	0.5	1.76	0	0.3	10.56
02-09-17 8:26	02-09-17 8:43	1	2.19	1	N	2	12	0	0.5	0	0	0.3	12.8
11/20/2017 17:03	11/20/2017 17:13	1	1.25	1	N	1	8	1	0.5	1.96	0	0.3	11.76
8/28/2017 15:04	8/28/2017 15:19	1	1.42	1	N	1	10.5	0	0.5	2.82	0	0.3	14.12
7/27/2017 22:53	7/27/2017 22:56	1	0.45	1	N	2	4	0.5	0.5	0	0	0.3	5.3
11/19/2017 8:25	11/19/2017 8:36	1	6.7	1	N	2	20	0	0.5	0	0	0.3	20.8
12/20/2017 19:15	12/20/2017 19:25	1	2.3	1	N	1	10	1	0.5	2.3	0	0.3	14.1
10-02-17 10:17	10-02-17 10:25	1	1.15	1	N	1	7	0	0.5	1.56	0	0.3	9.36
7/13/2017 11:17	7/13/2017 11:23	2	0.68	1	N	2	5.5	0	0.5	0	0	0.3	6.3
08-09-17 8:32	08-09-17 9:31	1	15.89	1	N	1	53	0	0.5	10	5.76	0.3	69.56
9/24/2017 19:44	9/24/2017 20:10	4	5.04	1	N	2	21	0	0.5	0	0	0.3	21.8
2/28/2017 17:40	2/28/2017 17:55	1	1.46	1	N	1	10.5	1	0.5	3.69	0	0.3	15.99
1/20/2017 18:21	1/20/2017 18:34	1	1	1	N	2	9	1	0.5	0	0	0.3	10.8
9/18/2017 20:50	9/18/2017 20:51	1	0	1	N	2	2.5	0.5	0.5	0	0	0.3	3.8
